Date,Open,High,Low,Close,Adj Close,Volume
9/11/2019,298.470001,300.339996,297.75,300.25,294.373596,68821100
9/12/2019,301.25,302.459991,300.410004,###,295.393219,68821100
9/13/2019,301.779999,302.170013,300.679993,301.089996,295.197144,62104800
9/14/2019,299.839996,301.140015,299.450012,###,294.285339,58191200
9/15/2019,299.940002,301.019989,299.75,300.920013,295.030457,41475500
9/16/2019,300.48999,301.220001,298.23999,301.100006,295.20694,73375800
9/17/2019,301.529999,302.630005,300.709991,301.079987,295.187317,###
9/18/2019,300.359985,300.670013,297.410004,298.279999,293.792633,89565000
9/19/2019,297.549988,299,297.269989,298.209991,293.723663,43476800
9/20/2019,299.410004,299.839996,294.809998,295.869995,291.418884,0
9/21/2019,295.959991,298.109985,294.329987,297.619995,293.142548,71854000
9/22/2019,297.630005,297.859985,295.450012,297,292.531891,56179700
9/23/2019,297.829987,297.950012,293.690002,295.399994,290.955963,84746600
9/24/2019,295.970001,297.549988,295.920013,296.769989,292.305328,51662400
9/25/2019,297.73999,298.459991,293,293.23999,288.82843,88242400
9/26/2019,291.5,291.51001,286.640015,288.059998,283.726379,122539500
9/27/2019,287.809998,290.450012,284.820007,290.420013,286.050903,85278800
9/28/2019,291.140015,294.630005,291.079987,294.350006,289.921753,65091200
9/29/2019,293.470001,295.26001,292.769989,293.079987,288.670868,59610500
9/30/2019,291.040009,291.850006,288.48999,288.529999,284.189331,95708100
10/1/2019,290.75,292.299988,290.059998,291.269989,286.888092,62359400
10/2/2019,291.179993,294.209991,291,293.23999,288.82843,55296300
10/3/2019,296.269989,298.73999,296.140015,296.279999,291.822723,98720400
10/4/2019,295.929993,296.670013,295.570007,295.950012,291.497681,40394800
10/5/2019,297.100006,299.700012,296.970001,298.880005,294.383606,46754500
10/6/2019,298.369995,299.160004,297.920013,298.399994,293.910828,48928200
10/7/2019,299.679993,300.23999,298.519989,299.279999,294.777588,45736600
10/8/2019,298.690002,299.399994,297.029999,297.970001,293.487305,64304000
10/9/2019,299.420013,300.209991,298.940002,299.98999,295.476868,39048600
10/10/2019,300.579987,300.899994,298.910004,299.01001,294.511658,48594700
10/11/2019,298.730011,299.940002,298.5,299.880005,295.368561,34352200
10/12/2019,300.910004,301.070007,299.459991,300.369995,295.851196,35453100
10/13/2019,299.73999,302.200012,299.679993,301.600006,297.062683,45205400
10/14/2019,302.940002,303.850006,302.910004,303.299988,298.737091,42147000
10/15/2019,303,304.230011,302.859985,303.209991,298.648468,44284900
10/16/2019,303.429993,304.549988,301.98999,304.140015,299.564484,49643900
10/17/2019,304.130005,304.130005,301.730011,303.329987,298.766663,69053800
10/18/2019,304.920013,306.190002,304.73999,306.140015,301.534393,71141500
10/19/2019,307.850006,308,306.959991,307.369995,302.74588,60606900
10/20/2019,307.589996,307.920013,306.709991,307.029999,302.41098,42933200
10/21/2019,307.029999,307.399994,306.059998,307.100006,302.479919,46487100
10/22/2019,308.570007,309.649994,307.660004,308.179993,303.543671,54272300
10/23/2019,307.799988,309,307.029999,308.940002,304.292267,49032100
10/24/2019,307.420013,308.540009,307.269989,308.350006,303.711151,35797300
10/25/2019,308.75,309.98999,308.149994,309,304.351349,46484600
10/26/2019,307.910004,309.540009,307.660004,309.100006,304.44986,53917700
10/27/2019,308.790009,309.640015,308.089996,309.549988,304.893066,51219900
10/28/2019,311.019989,311.839996,310.26001,311.790009,307.099396,62023600
10/29/2019,311.529999,312.279999,311.029999,312.019989,307.325897,49228000
10/30/2019,312.679993,312.690002,311.220001,311.929993,307.237274,67804700
10/31/2019,311.279999,311.850006,309.059998,310.769989,306.094727,79406200
11/1/2019,310.890015,311.01001,309.390015,310.269989,305.602234,54664700
11/2/2019,311.089996,311.23999,309.850006,310.959991,306.281891,44850200
11/3/2019,311.980011,313.369995,311.980011,313.369995,308.655609,48647200
11/4/2019,313.410004,314.279999,313.059998,314.079987,309.354919,37569000
11/5/2019,314.609985,315.480011,314.369995,315.480011,310.733856,44444600
11/6/2019,314.859985,315.130005,314.059998,314.309998,309.581451,36592700
11/7/2019,314.589996,314.660004,311.170013,311.640015,306.951691,75767800
11/8/2019,308.649994,309.640015,307.130005,309.549988,304.893066,73941700
11/9/2019,310.700012,312.119995,310.320007,311.459991,306.774323,49080000
11/10/2019,312.230011,312.25,310.579987,312.019989,307.325897,40709000
11/11/2019,314.119995,315.309998,314.109985,314.869995,310.133057,48927000
11/12/2019,314.440002,315.179993,313.799988,313.880005,309.157959,34838500
11/13/2019,313.820007,314.549988,312.809998,313.529999,308.813232,52649800
11/14/2019,314.029999,314.700012,313.440002,314.420013,309.68985,53429100
11/15/2019,314.429993,317.98999,314.170013,317.130005,312.35907,96389600
11/16/2019,316.869995,318.670013,316.019989,317.320007,312.546204,81503900
11/17/2019,319.220001,320.149994,317.25,319.5,314.69339,82749700
11/18/2019,319.920013,320.25,319.480011,319.570007,314.76236,61097700
11/19/2019,320,320.25,319.529999,319.589996,314.782043,48133000
11/20/2019,319.799988,320.980011,319.519989,320.899994,316.072327,85310500
11/21/2019,320.459991,321.970001,319.390015,320.730011,317.458038,147142100
11/22/2019,321.589996,321.649994,321.059998,321.220001,317.943054,52990000
11/23/2019,321.470001,321.519989,320.899994,321.230011,317.952972,20270000
11/24/2019,321.649994,322.950012,321.640015,322.940002,319.645508,30911200
11/25/2019,323.73999,323.799988,322.279999,322.859985,319.566284,42528800
11/26/2019,322.950012,323.100006,320.549988,321.079987,317.804443,49729100
11/27/2019,320.529999,322.130005,320.149994,321.859985,318.576508,57077300
